,id,name,nameWithOwner,stargazers.totalCount
82,MDEwOlJlcG9zaXRvcnkxNTYzNDk4MQ==,godot,godotengine/godot,47824
83,MDEwOlJlcG9zaXRvcnkyMjY3MDg1Nw==,awesome-react,enaqx/awesome-react,47676
84,MDEwOlJlcG9zaXRvcnkxMzYyNDkw,requests,psf/requests,47182
85,MDEwOlJlcG9zaXRvcnkxMTQ4NzUz,spring-framework,spring-projects/spring-framework,47058
86,MDEwOlJlcG9zaXRvcnkxMjI1NjM3Ng==,ionic-framework,ionic-team/ionic-framework,46680
87,MDEwOlJlcG9zaXRvcnkxOTg3MjQ1Ng==,react-router,remix-run/react-router,46559
88,MDEwOlJlcG9zaXRvcnkxNDI0NDcw,moment,moment/moment,46393
89,MDEwOlJlcG9zaXRvcnkyNjA2NjcyNw==,mermaid,mermaid-js/mermaid,45964
90,MDEwOlJlcG9zaXRvcnk4MDk0NTQyOA==,nest,nestjs/nest,45932
91,MDEwOlJlcG9zaXRvcnk3NTA4NDEx,RxJava,ReactiveX/RxJava,45928
92,MDEwOlJlcG9zaXRvcnk2MzQ3NzY2MA==,Java,TheAlgorithms/Java,45459
93,MDEwOlJlcG9zaXRvcnkzOTQ2NDAxOA==,superset,apache/superset,45454
94,MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==,tesseract,tesseract-ocr/tesseract,44624
95,MDEwOlJlcG9zaXRvcnk2NTI1Mg==,jekyll,jekyll/jekyll,44416
96,MDEwOlJlcG9zaXRvcnkyMTczNzI2Ng==,awesome-nodejs,sindresorhus/awesome-nodejs,44214
97,MDEwOlJlcG9zaXRvcnk0MzQ0MTQwMw==,strapi,strapi/strapi,44142
98,MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==,guava,google/guava,44096
99,MDEwOlJlcG9zaXRvcnk4MTU5ODk2MQ==,cpython,python/cpython,43826
100,MDEwOlJlcG9zaXRvcnkxNDcxMjg1MA==,syncthing,syncthing/syncthing,43829
101,MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,fastapi,tiangolo/fastapi,43702
102,MDEwOlJlcG9zaXRvcnk1Mjk1MDI=,scrapy,scrapy/scrapy,43212
103,MDEwOlJlcG9zaXRvcnkzMjE0NDA2,meteor,meteor/meteor,42856
104,MDEwOlJlcG9zaXRvcnkzNDMwMjY5OA==,serverless,serverless/serverless,42457
105,MDEwOlJlcG9zaXRvcnk3NTEwNDEyMw==,prettier,prettier/prettier,42337
106,MDEwOlJlcG9zaXRvcnk1MTUyMjg1,okhttp,square/okhttp,41898
107,MDEwOlJlcG9zaXRvcnkyMDM1ODc3NDQ=,hoppscotch,hoppscotch/hoppscotch,41906
108,MDEwOlJlcG9zaXRvcnk2ODM4OTIx,prometheus,prometheus/prometheus,41810
109,MDEwOlJlcG9zaXRvcnkzNDMyMjY2,kotlin,JetBrains/kotlin,40867
110,MDEwOlJlcG9zaXRvcnkxNTQyODQ4MA==,AdminLTE,ColorlibHQ/AdminLTE,40728
111,MDEwOlJlcG9zaXRvcnkyNDU2MDMwNw==,babel,babel/babel,40671
112,MDEwOlJlcG9zaXRvcnk0OTk3MDY0Mg==,yarn,yarnpkg/yarn,40561
113,MDEwOlJlcG9zaXRvcnk5OTU5ODU5NQ==,parcel,parcel-bundler/parcel,40498
114,MDEwOlJlcG9zaXRvcnkyNTc0ODU0MjI=,vite,vitejs/vite,40134
115,MDEwOlJlcG9zaXRvcnk5ODUyOTE4,Ghost,TryGhost/Ghost,39855
116,MDEwOlJlcG9zaXRvcnk4OTIyNzU=,retrofit,square/retrofit,39796
117,MDEwOlJlcG9zaXRvcnk3MTk5NTkzNw==,nuxt.js,nuxt/nuxt.js,39755
118,MDEwOlJlcG9zaXRvcnk3MTk0ODQ5OA==,localstack,localstack/localstack,39447
119,MDEwOlJlcG9zaXRvcnkxMTIyNTAxNA==,etcd,etcd-io/etcd,39400
120,MDEwOlJlcG9zaXRvcnkyMTcwMDY5OQ==,awesome-ios,vsouza/awesome-ios,39266
121,MDEwOlJlcG9zaXRvcnkxNjc1MjYyMA==,gogs,gogs/gogs,38885
